1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 3B00000020954841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Tue Jun 18 14:00:01 CEST 2013
Mission Sample Count:  3192
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jun 18 14:00:01 CEST 2013
Total Mission Samples:  3192
Total Device Samples:  3856
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
18/06/13 14:00:01,C,28,122
18/06/13 17:00:01,C,28,622
18/06/13 20:00:01,C,27,623
18/06/13 23:00:01,C,27,623
19/06/13 02:00:01,C,27,123
19/06/13 05:00:01,C,27,123
19/06/13 08:00:01,C,27,123
19/06/13 11:00:01,C,26,123
19/06/13 14:00:01,C,26,623
19/06/13 17:00:01,C,26,623
19/06/13 20:00:01,C,26,623
19/06/13 23:00:01,C,26,623
20/06/13 02:00:01,C,26,623
20/06/13 05:00:01,C,26,123
20/06/13 08:00:01,C,26,123
20/06/13 11:00:01,C,26,123
20/06/13 14:00:01,C,26,123
20/06/13 17:00:01,C,26,123
20/06/13 20:00:01,C,26,123
20/06/13 23:00:01,C,26,123
21/06/13 02:00:01,C,26,123
21/06/13 05:00:01,C,25,623
21/06/13 08:00:01,C,25,623
21/06/13 11:00:01,C,25,623
21/06/13 14:00:01,C,25,623
21/06/13 17:00:01,C,26,123
21/06/13 20:00:01,C,26,123
21/06/13 23:00:01,C,26,123
22/06/13 02:00:01,C,26,123
22/06/13 05:00:01,C,26,123
22/06/13 08:00:01,C,25,623
22/06/13 11:00:01,C,26,123
22/06/13 14:00:01,C,26,123
22/06/13 17:00:01,C,26,123
22/06/13 20:00:01,C,26,123
22/06/13 23:00:01,C,26,123
23/06/13 02:00:01,C,26,123
23/06/13 05:00:01,C,26,123
23/06/13 08:00:01,C,26,123
23/06/13 11:00:01,C,26,123
23/06/13 14:00:01,C,25,623
23/06/13 17:00:01,C,25,623
23/06/13 20:00:01,C,25,623
23/06/13 23:00:01,C,25,623
24/06/13 02:00:01,C,25,623
24/06/13 05:00:01,C,25,123
24/06/13 08:00:01,C,24,623
24/06/13 11:00:01,C,24,123
24/06/13 14:00:01,C,24,123
24/06/13 17:00:01,C,24,623
24/06/13 20:00:01,C,24,623
24/06/13 23:00:01,C,24,623
25/06/13 02:00:01,C,24,123
25/06/13 05:00:01,C,24,123
25/06/13 08:00:01,C,24,123
25/06/13 11:00:01,C,23,623
25/06/13 14:00:01,C,23,623
25/06/13 17:00:01,C,24,123
25/06/13 20:00:01,C,24,123
25/06/13 23:00:01,C,24,123
26/06/13 02:00:01,C,24,123
26/06/13 05:00:01,C,24,123
26/06/13 08:00:01,C,24,123
26/06/13 11:00:01,C,23,623
26/06/13 14:00:01,C,24,123
26/06/13 17:00:01,C,24,123
26/06/13 20:00:01,C,24,123
26/06/13 23:00:01,C,24,123
27/06/13 02:00:01,C,24,123
27/06/13 05:00:01,C,24,123
27/06/13 08:00:01,C,24,123
27/06/13 11:00:01,C,24,123
27/06/13 14:00:01,C,24,123
27/06/13 17:00:01,C,24,123
27/06/13 20:00:01,C,24,623
27/06/13 23:00:01,C,24,623
28/06/13 02:00:01,C,24,623
28/06/13 05:00:01,C,24,123
28/06/13 08:00:01,C,24,123
28/06/13 11:00:01,C,24,123
28/06/13 14:00:01,C,24,123
28/06/13 17:00:01,C,24,123
28/06/13 20:00:01,C,25,123
28/06/13 23:00:01,C,22,622
29/06/13 02:00:01,C,20,621
29/06/13 05:00:01,C,18,618
29/06/13 08:00:01,C,18,118
29/06/13 11:00:01,C,24,123
29/06/13 14:00:01,C,29,122
29/06/13 17:00:01,C,30,62
29/06/13 20:00:01,C,31,12
29/06/13 23:00:01,C,26,623
30/06/13 02:00:01,C,23,623
30/06/13 05:00:01,C,21,121
30/06/13 08:00:01,C,19,62
30/06/13 11:00:01,C,23,623
30/06/13 14:00:01,C,30,121
30/06/13 17:00:01,C,34,614
30/06/13 20:00:01,C,35,113
30/06/13 23:00:01,C,30,62
01/07/13 02:00:01,C,26,123
01/07/13 05:00:01,C,22,622
01/07/13 08:00:01,C,20,621
01/07/13 11:00:01,C,25,623
01/07/13 14:00:01,C,27,623
01/07/13 17:00:01,C,30,121
01/07/13 20:00:01,C,30,62
01/07/13 23:00:01,C,23,623
02/07/13 02:00:01,C,20,621
02/07/13 05:00:01,C,19,119
02/07/13 08:00:01,C,18,618
02/07/13 11:00:01,C,23,623
02/07/13 14:00:01,C,21,622
02/07/13 17:00:01,C,22,622
02/07/13 20:00:01,C,20,621
02/07/13 23:00:01,C,18,118
03/07/13 02:00:01,C,16,114
03/07/13 05:00:01,C,15,112
03/07/13 08:00:01,C,14,11
03/07/13 11:00:01,C,17,116
03/07/13 14:00:01,C,21,622
03/07/13 17:00:01,C,25,623
03/07/13 20:00:01,C,28,622
03/07/13 23:00:01,C,25,623
04/07/13 02:00:01,C,23,123
04/07/13 05:00:01,C,21,622
04/07/13 08:00:01,C,20,621
04/07/13 11:00:01,C,24,123
04/07/13 14:00:01,C,24,623
04/07/13 17:00:01,C,25,623
04/07/13 20:00:01,C,26,123
04/07/13 23:00:01,C,27,123
05/07/13 02:00:01,C,27,123
05/07/13 05:00:01,C,27,123
05/07/13 08:00:01,C,26,623
05/07/13 11:00:01,C,26,623
05/07/13 14:00:01,C,26,623
05/07/13 17:00:01,C,27,123
05/07/13 20:00:01,C,27,623
05/07/13 23:00:01,C,28,122
06/07/13 02:00:01,C,28,622
06/07/13 05:00:01,C,28,622
06/07/13 08:00:01,C,28,122
06/07/13 11:00:01,C,28,122
06/07/13 14:00:01,C,28,122
06/07/13 17:00:01,C,28,622
06/07/13 20:00:01,C,29,122
06/07/13 23:00:01,C,29,621
